iter	Passed	Remaining
0	8	44891
1	18	45090
2	25	41860
3	32	40202
4	40	40314
5	47	39701
6	55	39751
7	64	40413
8	72	40314
9	81	40466
10	89	40508
11	96	39983
12	102	39456
13	109	39078
14	118	39523
15	126	39447
