iter	Passed	Remaining
0	10	50971
1	19	49212
2	28	47159
3	36	45915
4	46	46004
5	55	45820
6	64	45683
7	72	45141
8	79	44156
9	88	44367
10	97	44182
11	104	43380
12	111	42594
13	119	42537
14	126	42090
15	134	41780
