iter	Accuracy	Logloss
0	0.6970486111	0.6929621355
1	0.6979166667	0.6927733279
2	0.7022569444	0.6925558712
3	0.6996527778	0.6923614004
4	0.6970486111	0.6921688994
5	0.6961805556	0.6919643955
6	0.6961805556	0.6917868878
7	0.6953125	0.6916005637
8	0.6953125	0.691401153
9	0.6953125	0.6912191717
10	0.6953125	0.6910164089
11	0.6953125	0.6908430285
12	0.6953125	0.6906722887
13	0.6953125	0.6904727486
14	0.6953125	0.6902909186
15	0.6953125	0.6901169173
