iter	Passed	Remaining
0	9	45635
1	15	39078
2	25	41689
3	32	40440
4	40	40040
5	48	40234
6	57	40814
7	65	40626
8	73	40837
9	81	40703
10	90	40918
11	100	41835
12	108	41654
13	116	41526
14	124	41500
15	132	41284
