iter	Accuracy	Logloss
0	0.6979166667	0.6929636187
1	0.7013888889	0.6927631134
2	0.6970486111	0.6925724208
3	0.6987847222	0.6923646352
4	0.6979166667	0.6921788735
5	0.6970486111	0.691999064
6	0.6953125	0.6918134228
7	0.6953125	0.6916160778
8	0.6953125	0.6914232098
9	0.6953125	0.691230261
10	0.6953125	0.6910357956
11	0.6953125	0.6908518985
12	0.6953125	0.6906782674
13	0.6953125	0.6904716365
14	0.6953125	0.690285945
15	0.6953125	0.6900945597
