iter	Passed	Remaining
0	11	58707
1	19	49775
2	30	50665
3	39	48814
4	47	47264
5	55	46181
6	62	44607
7	69	43485
8	79	44248
9	87	43584
10	94	42959
11	102	42720
12	111	42638
13	120	42776
14	128	42650
15	135	42200
16	143	42154
17	151	41936
