iter	Passed	Remaining
0	11	58380
1	21	54304
2	30	50955
3	42	52877
4	51	51084
5	59	49657
6	71	50873
7	80	50448
8	90	50020
9	100	49968
10	111	50556
11	121	50446
12	130	49929
13	139	49570
14	148	49512
15	158	49472
