iter	Accuracy	Logloss
0	0.6970486111	0.6929491903
1	0.6970486111	0.6927691916
2	0.6953125	0.6925731229
3	0.6970486111	0.6923665909
4	0.6953125	0.6921724157
5	0.6953125	0.6919808286
6	0.6953125	0.6917907316
7	0.6953125	0.6915996283
8	0.6953125	0.6914137181
9	0.6953125	0.6912307197
10	0.6953125	0.6910431275
11	0.6953125	0.6908687348
12	0.6953125	0.6906784581
13	0.6953125	0.6904897584
14	0.6953125	0.6903073114
15	0.6953125	0.6901156833
