iter	Passed	Remaining
0	15	75866
1	22	56150
2	29	49329
3	36	45992
4	44	44387
5	51	43049
6	59	42124
7	66	41787
8	76	42241
9	84	42074
10	92	42075
11	100	41746
12	108	41649
13	117	41763
14	125	41724
15	134	41883
