iter	Accuracy	Logloss
0	0.6970486111	0.6929652653
1	0.7013888889	0.6927499481
2	0.6970486111	0.692568921
3	0.6970486111	0.6923564135
4	0.6953125	0.6921532914
5	0.6953125	0.6919787249
6	0.6953125	0.6917846388
7	0.6953125	0.6915953426
8	0.6953125	0.6914046378
9	0.6953125	0.6912129842
10	0.6953125	0.6910202089
11	0.6953125	0.6908339053
12	0.6953125	0.6906632478
13	0.6953125	0.6904674573
14	0.6953125	0.6902880966
15	0.6953125	0.6901064258
