iter	Passed	Remaining
0	11	55294
1	18	45027
2	24	41636
3	31	39799
4	39	39222
5	47	39675
6	54	38785
7	61	38199
8	68	38042
9	78	38987
10	85	38631
11	91	38198
12	98	37961
13	106	37938
14	114	37930
15	120	37643
