iter	Passed	Remaining
0	9	47428
1	16	42417
2	24	40810
3	32	41144
4	41	41950
5	50	42249
6	60	43171
7	69	43087
8	77	43002
9	87	43771
10	97	44233
11	107	44581
12	117	45036
13	129	46141
14	141	46928
15	152	47603
