iter	Accuracy	Logloss
0	0.6970486111	0.6929684074
1	0.6961805556	0.6927843955
2	0.6953125	0.6925767694
3	0.6961805556	0.6923902937
4	0.6961805556	0.6921790906
5	0.6961805556	0.6919868583
6	0.6953125	0.6918055754
7	0.6953125	0.6916055836
8	0.6953125	0.6914148572
9	0.6953125	0.6912373385
10	0.6953125	0.6910456618
11	0.6953125	0.6908709005
12	0.6953125	0.6906997947
13	0.6953125	0.6905080594
14	0.6953125	0.6903121995
15	0.6953125	0.6901297474
