iter	Passed	Remaining
0	14	70928
1	26	67086
2	41	68567
3	53	67431
4	67	67307
5	79	66431
6	90	64888
7	103	64292
8	115	64120
9	129	64401
10	142	64794
11	154	64377
12	164	63101
13	174	62122
14	183	60951
15	192	60092
16	203	59670
